Tahun,Bulan,Minggu,No,Provinsi,Kab/Kota,Indikator Perubahan Harga (%),Komoditas Andil Perubahan Harga ,Fluktuasi Harga Tertinggi,Nilai,Disparitas Harga Antar Daerah
2022,10,04,6101,KALIMANTAN BARAT,SAMBAS,-0.09,TELUR AYAM RAS (0.4229); BAWANG PUTIH (0.0045); BERAS (0),CABAI MERAH,0.06,120.17
2022,10,04,6102,KALIMANTAN BARAT,BENGKAYANG,4.44,BERAS (3.8698); GULA PASIR (0.3024); MINYAK GORENG (0.0904),SUSU BUBUK UNTUK BALITA,0.14,109.48
2022,10,04,6103,KALIMANTAN BARAT,LANDAK,10.45,BERAS (6.0825); MINYAK GORENG (4.9103); DAGING AYAM RAS (0.1072),DAGING AYAM RAS,0.04,111.99
2022,10,04,6104,KALIMANTAN BARAT,MEMPAWAH,-0.8,TELUR AYAM RAS (0.0598); BERAS (0); MIE KERING INSTANT (0),STABIL,-,107.64
2022,10,04,6105,KALIMANTAN BARAT,SANGGAU,2.37,BERAS (3.2748); MINYAK GORENG (0.9413); GULA PASIR (0.2304),MIE KERING INSTANT,0.16,113.42
2022,10,04,6106,KALIMANTAN BARAT,KETAPANG,4.55,BERAS (2.8698); MINYAK GORENG (1.5243); GULA PASIR (0.3689),BAWANG PUTIH,0.07,107.89
2022,10,04,6107,KALIMANTAN BARAT,SINTANG,1.52,BERAS (3.2748); TELUR AYAM RAS (0.1174); BAWANG MERAH (0.0722),CABAI RAWIT,0.2,102.52
2022,10,04,6108,KALIMANTAN BARAT,KAPUAS HULU,14.07,BERAS (5.4848); MINYAK GORENG (4.9974); BAWANG MERAH (0.9562),STABIL,-,115.99
2022,10,04,6109,KALIMANTAN BARAT,SEKADAU,2.4,MINYAK GORENG (2.7251); CABAI MERAH (0.0919); DAGING SAPI (0.0396),MINYAK GORENG,0.25,135.45
2022,10,04,6110,KALIMANTAN BARAT,MELAWI,3.81,MINYAK GORENG (3.7249); BERAS (1.4077); DAGING AYAM RAS (0.1253),MIE KERING INSTANT,0.1,158.85
